Pais,Inventario Hom,Clave Inv Parcela,Tipo Bosque,Zona de Vida,Suelo IPCC,Area Protegida,Categoría Area Protegida,Suelo FAO,Zona Climática,POSICIÓN Topográfica,División Administrativa,DAP (cm),ALTURA (m),Densidad (arb/ha),Vol (m3/ha),CO2 (ton/ha)
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica10237,Palmas,Bosque Muy Humedo Tropical,Suelo arcilloso de baja actividad,Manglar Térraba-Sierpe,Humedal,Nitisols,"Tropical, muy húmeda",Plano,Osa,23.527272727272727,10.236363636363636,550.0,165.7834151262602,161.66343969386304
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica1027,Plantaciones,Bosque Húmedo Tropical,Suelo arcilloso de alta actividad,,,Cambisols,"Tropical, muy húmeda",Plano,Los Chiles,22.772727272727273,16.681818181818183,220.0,76.27738660928966,108.31225752782707
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica10973,Bosques Secundarios,Bosque Muy Humedo Tropical,Suelos volcánicos,,,Andosols,"Tropical, muy húmeda",Baja,Corredores,26.833333333333332,13.047619047619047,420.0,404.1783630801708,548.3948532860485
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica1104,Árboles Dispersos,Bosque Húmedo Tropical,Suelo arcilloso de alta actividad,,,Cambisols,"Tropical, húmeda",Plano,Upala,39.55,8.0,20.0,9.337638034540433,11.775951368357587
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica11229,Árboles Dispersos,Bosque Húmedo Tropical,Suelo arcilloso de baja actividad,,,Nitisols,"Tropical, muy húmeda",Plano,Golfito,45.42,19.0,50.0,131.529872514943,164.5690486714109
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica11326,Mangle,Bosque Húmedo Tropical,Suelo arcilloso de alta actividad,,,Cambisols,"Tropical, muy húmeda",Plano,Golfito,26.748936170212765,16.04025457468289,470.0,284.41713942996796,492.4014504236613
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica1181,Latifoliados,Bosque Húmedo Premontano,Suelos volcánicos,Guanacaste,Parque Nacional,Regosols,"Tropical, húmeda",Media,La Cruz,25.417073170731705,10.802439024390244,410.0,191.19255092774782,376.75883844407196
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica11867,Árboles Dispersos,Bosque Muy Humedo Premontano,Suelo arcilloso de baja actividad,,,Acrisols,"Tropical, muy húmeda",Baja,Golfito,15.25,8.833333333333334,120.0,12.63519112842687,7.638102888604971
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica1210,Latifoliados,Bosque Húmedo Tropical,Suelo arcilloso de alta actividad,,,Cambisols,"Tropical, muy húmeda",Plano,San Carlos,20.97659574468085,13.404255319148936,470.0,262.50633777599285,442.9964501187205
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica12500,Latifoliados,Bosque Muy Humedo Premontano,Suelo arcilloso de baja actividad,,,Acrisols,"Tropical, muy húmeda",Media,Golfito,24.34333333333333,13.491525423728813,600.0,339.06446888577983,450.68207034281227
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica13870,Árboles Dispersos,Bosque Húmedo Tropical,Suelo arcilloso de alta actividad,,,Luvisols,"Tropical, muy húmeda",Media,La Cruz,32.18181818181818,9.636363636363637,110.0,217.1669118692932,170.45376585294449
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica14238,Árboles Dispersos,Bosque Muy Humedo Premontano,Suelo arcilloso de baja actividad,,,Acrisols,"Tropical, muy húmeda",Valle,Upala,28.0,13.538461538461538,130.0,70.6964375809762,99.33307934733138
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica14239,Latifoliados,Bosque Muy Humedo Premontano,Suelo arcilloso de baja actividad,,,Acrisols,"Tropical, muy húmeda",Media,Upala,23.391666666666666,15.06111111111111,360.0,217.17610142050393,257.9912426087266
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica14321,Bosques Secundarios,Bosque Húmedo Premontano,Suelos volcánicos,Guanacaste,Parque Nacional,Andosols,"Tropical, húmeda",Media,La Cruz,24.629032258064516,11.32258064516129,310.0,129.2606333824112,207.55705191804756
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica14410,Árboles Dispersos,Bosque Húmedo Premontano,Suelo arcilloso de alta actividad,Guanacaste,Parque Nacional,Regosols,"Tropical, húmeda",Superior,La Cruz,10.0,3.5,10.0,0.13744467859455348,0.209215945042658
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica14504,Latifoliados,Bosque Pluvial Premontano,Suelos volcánicos,Guanacaste,Parque Nacional,Andosols,"Tropical, muy húmeda",Media,Upala,21.02127659574468,10.293617021276596,470.0,143.79326793378996,182.99085017992815
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica14585,Mangle,Bosque Húmedo Premontano,Suelo arcilloso de alta actividad,Santa Rosa,Parque Nacional,Cambisols,"Tropical, húmeda",Baja,La Cruz,22.68125,12.625000000000004,320.0,91.11251294361107,197.19971988256864
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica14696,Bosques Secundarios,Bosque Húmedo Tropical,Suelo arcilloso de alta actividad,,,Cambisols,"Tropical, muy húmeda",Plano,Upala,20.080555555555552,13.972222222222221,360.0,137.15289532286968,142.97788980527304
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica14699,Palmas,Bosque Húmedo Tropical,Suelo arcilloso de alta actividad,,,Cambisols,"Tropical, muy húmeda",Plano,Los Chiles,20.066071428571426,9.535714285714286,560.0,109.0756060587855,109.56986389177663
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica1473,Palmas,Bosque Húmedo Tropical,Suelo arcilloso de alta actividad,Caño Negro,"Ramsar Site, Wetland of International Importance",Cambisols,"Tropical, muy húmeda",Plano,Los Chiles,20.379166666666666,19.666666666666668,480.0,222.32058466176434,302.24941586375513
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica14874,Árboles Dispersos,Bosque Húmedo Tropical,Suelo arcilloso de alta actividad,,,Cambisols,"Tropical, húmeda",Media,Upala,45.0,6.0,10.0,4.771293842639498,7.031356566986531
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica14947,Bosques Secundarios,Bosque Húmedo Premontano,Suelo arcilloso de alta actividad,Santa Rosa,Parque Nacional,Cambisols,"Tropical, húmeda",Media,La Cruz,13.45,5.046875,160.0,6.216843313366026,10.425552808751002
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica14950,Latifoliados,Bosque Seco Tropical,Suelo arcilloso de alta actividad,Santa Rosa,Parque Nacional,Regosols,"Tropical, húmeda",Baja,Liberia,29.67391304347826,12.978260869565217,230.0,146.2885301278815,172.9220858845551
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica14968,Bosques Secundarios,Bosque Húmedo Tropical,Suelo arcilloso de alta actividad,,,Cambisols,"Tropical, muy húmeda",Media,Upala,19.6775,15.8,400.0,156.62746717584932,247.85522469446556
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica15072,Latifoliados,Bosque Muy Humedo Premontano,Suelo arcilloso de baja actividad,,,Acrisols,"Tropical, muy húmeda",Plano,San Carlos,25.428888888888892,17.488888888888887,450.0,454.2214600476416,730.985141713631
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica15128,Bosques Secundarios,Bosque Muy Humedo Subtropical,Suelo de humedales,Santa Rosa,Parque Nacional,Cambisols,"Tropical, húmeda",Plano,Liberia,21.272881355932206,7.362711864406777,590.0,96.69121573317723,174.1624472910142
